Note: aws_iam_role.vpc_flow_log_cloudwatch not in state for module.vpc (likely count=0), defaulting to null
Note: aws_vpc_ipv4_cidr_block_association.this not in state for module.vpc (likely count=0), defaulting to null
Note: aws_customer_gateway.this not in state for module.vpc (likely count=0), defaulting to null
Note: aws_flow_log.this not in state for module.vpc (likely count=0), defaulting to null
Note: aws_vpc_dhcp_options_association.this not in state for module.vpc (likely count=0), defaulting to null
Note: aws_network_acl_rule.private_inbound not in state for module.vpc (likely count=0), defaulting to null
Note: aws_network_acl_rule.private_outbound not in state for module.vpc (likely count=0), defaulting to null
Note: aws_network_acl_rule.database_inbound not in state for module.vpc (likely count=0), defaulting to null
Note: aws_network_acl_rule.redshift_outbound not in state for module.vpc (likely count=0), defaulting to null
Note: aws_network_acl_rule.elasticache_outbound not in state for module.vpc (likely count=0), defaulting to null
Note: aws_network_acl_rule.intra_inbound not in state for module.vpc (likely count=0), defaulting to null
Note: aws_network_acl_rule.outpost_outbound not in state for module.vpc (likely count=0), defaulting to null
Note: aws_network_acl_rule.public_inbound not in state for module.vpc (likely count=0), defaulting to null
Note: aws_network_acl_rule.public_outbound not in state for module.vpc (likely count=0), defaulting to null
Note: aws_network_acl_rule.database_outbound not in state for module.vpc (likely count=0), defaulting to null
Note: aws_network_acl_rule.redshift_inbound not in state for module.vpc (likely count=0), defaulting to null
Note: aws_network_acl_rule.elasticache_inbound not in state for module.vpc (likely count=0), defaulting to null
Note: aws_network_acl_rule.intra_outbound not in state for module.vpc (likely count=0), defaulting to null
Note: aws_network_acl_rule.outpost_inbound not in state for module.vpc (likely count=0), defaulting to null
Note: aws_subnet.redshift not in state for module.vpc (likely count=0), defaulting to null
Note: aws_subnet.elasticache not in state for module.vpc (likely count=0), defaulting to null
Note: aws_subnet.intra not in state for module.vpc (likely count=0), defaulting to null
Note: aws_subnet.outpost not in state for module.vpc (likely count=0), defaulting to null
Note: aws_iam_role_policy_attachment.vpc_flow_log_cloudwatch not in state for module.vpc (likely count=0), defaulting to null
